[     135ms] [WARNING] <meta name="apple-mobile-web-app-capable" content="yes"> is deprecated. Please include <meta name="mobile-web-app-capable" content="yes"> @ http://localhost:8766/:0
[ 2096922ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2097925ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2098927ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2099929ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2100931ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2101935ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2102944ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2103956ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2104973ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2106002ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2107065ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2108312ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2109446ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2111162ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2113031ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2238638ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2239668ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2240685ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2241732ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2242767ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2243899ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2245018ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2246088ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2247205ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2248434ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2249731ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2251526ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2252955ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2254705ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2257308ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2302315ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2303373ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2304416ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2305700ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2306975ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2308145ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2309428ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2311055ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2312461ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2314688ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2316575ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2318054ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2320220ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2359345ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2360377ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2361454ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2362608ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2363728ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2364958ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2366065ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2367268ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2368671ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
